country,carrier,year,min,max,unit,Source,component
EE,offwind,2050,301.66159023741096,17085.65869522392,MW,Atlite,generator
ES,offwind,2050,535.0976689746809,9833.18205806555,MW,Atlite,generator
FI,offwind,2050,495.4762296446908,63264.98454594478,MW,Atlite,generator
FR,offwind,2050,913.2286505568254,28852.30180316805,MW,Atlite,generator
GB,offwind,2050,43633.33333333333,99687.31821074907,MW,Atlite,generator
GR,offwind,2050,528.1380708524189,20278.13802359493,MW,Atlite,generator
HR,offwind,2050,266.30930650325683,11705.20223368268,MW,Atlite,generator
HU,offwind,2050,0.0,0.0,MW,Atlite,generator
IE,offwind,2050,1037.9469271213857,14184.40116829101,MW,Atlite,generator
IT,offwind,2050,1859.0390915851103,46237.27901755139,MW,Atlite,generator
LT,offwind,2050,57.61353138908771,1764.041046583417,MW,Atlite,generator
LU,offwind,2050,0.0,0.0,MW,Atlite,generator
LV,offwind,2050,126.4456871081231,10852.99449320612,MW,Atlite,generator
ME,offwind,2050,3.580417414960066,590.2775861631329,MW,Atlite,generator
MK,offwind,2050,0.0,0.0,MW,Atlite,generator
NL,offwind,2050,10556.673954434431,53370.8703197002,MW,Atlite,generator
NO,offwind,2050,288.5690720030513,37975.77436210315,MW,Atlite,generator
PL,offwind,2050,5100.0,37949.99999999999,MW,33 GW http://psew.pl/nowy-potencjal-baltyku-33-gw-mocy-i-20-nowych-obszarow-pod-mfw-raport/(Agora),generator
PT,offwind,2050,210.80550424809965,4460.188736142793,MW,Atlite,generator
RO,offwind,2050,38.49980842894011,17250.0,MW,as communicated by EPG 2025/01/31  +15.0%,generator
SE,offwind,2050,1367.9582846515154,70416.1769383224,MW,Atlite,generator
SI,offwind,2050,0.8673489948275059,147.3545514138839,MW,Atlite,generator
SK,offwind,2050,0.0,0.0,MW,Atlite,generator
AL,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
AT,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
BA,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
BE,offwind,2020,,2314.077035762371,MW,Interpolation between existing capacities and 2030 maximum,generator
BG,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
CH,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
CZ,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
DE,offwind,2020,,7747.000000000001,MW,Interpolation between existing capacities and 2030 maximum,generator
DK,offwind,2020,,1700.8,MW,Interpolation between existing capacities and 2030 maximum,generator
EE,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
ES,offwind,2020,,3.296633431166667,MW,Interpolation between existing capacities and 2030 maximum,generator
FI,offwind,2020,,72.95875184829333,MW,Interpolation between existing capacities and 2030 maximum,generator
FR,offwind,2020,,0.4624755293036763,MW,Interpolation between existing capacities and 2030 maximum,generator
GB,offwind,2020,,10382.70519991023,MW,Interpolation between existing capacities and 2030 maximum,generator
GR,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
HR,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
HU,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
IE,offwind,2020,,25.10287104602192,MW,Interpolation between existing capacities and 2030 maximum,generator
IT,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
LT,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
LU,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
LV,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
ME,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
MK,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
NL,offwind,2020,,2439.465323470064,MW,Interpolation between existing capacities and 2030 maximum,generator
NO,offwind,2020,,1.112722948592202,MW,Interpolation between existing capacities and 2030 maximum,generator
PL,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
PT,offwind,2020,,24.96633451582581,MW,Interpolation between existing capacities and 2030 maximum,generator
RO,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
SE,offwind,2020,,281.15,MW,Interpolation between existing capacities and 2030 maximum,generator
SI,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
SK,offwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
AL,onwind,2020,,0.0,MW,Interpolation between existing capacities and 2030 maximum,generator
AT,onwind,2020,,3224.12,MW,Interpolation between existing capacities and 2030 maximum,generator
BA,onwind,2020,,106.7229401804664,MW,Interpolation between existing capacities and 2030 maximum,generator
BE,onwind,2020,,2261.964666714989,MW,Interpolation between existing capacities and 2030 maximum,generator
BG,onwind,2020,,703.0321976773537,MW,Interpolation between existing capacities and 2030 maximum,generator
CH,onwind,2020,,85.28959871158852,MW,Interpolation between existing capacities and 2030 maximum,generator
CZ,onwind,2020,,339.41,MW,Interpolation between existing capacities and 2030 maximum,generator
DE,onwind,2020,,54312.54619411324,MW,Interpolation between existing capacities and 2030 maximum,generator
DK,onwind,2020,,4533.957488034115,MW,Interpolation between existing capacities and 2030 maximum,generator
EE,onwind,2020,,316.0,MW,Interpolation between existing capacities and 2030 maximum,generator
ES,onwind,2020,,27083.72819679152,MW,Interpolation between existing capacities and 2030 maximum,generator
FI,onwind,2020,,2781.677738747053,MW,Interpolation between existing capacities and 2030 maximum,generator
FR,onwind,2020,,17512.02802518003,MW,Interpolation between existing capacities and 2030 maximum,generator
GB,onwind,2020,,14100.72476643336,MW,Interpolation between existing capacities and 2030 maximum,generator
GR,onwind,2020,,4113.000000000001,MW,Interpolation between existing capacities and 2030 maximum,generator
HR,onwind,2020,,768.5770598195337,MW,Interpolation between existing capacities and 2030 maximum,generator
HU,onwind,2020,,323.0,MW,Interpolation between existing capacities and 2030 maximum,generator
IE,onwind,2020,,4274.660000000001,MW,Interpolation between existing capacities and 2030 maximum,generator
IT,onwind,2020,,10878.77163042971,MW,Interpolation between existing capacities and 2030 maximum,generator
LT,onwind,2020,,539.0,MW,Interpolation between existing capacities and 2030 maximum,generator
LU,onwind,2020,,289.8140692666177,MW,Interpolation between existing capacities and 2030 maximum,generator
LV,onwind,2020,,77.82074956512004,MW,Interpolation between existing capacities and 2030 maximum,generator
ME,onwind,2020,,118.0,MW,Interpolation between existing capacities and 2030 maximum,generator
MK,onwind,2020,,36.99999999999999,MW,Interpolation between existing capacities and 2030 maximum,generator
