,Scenario,Country,Source,Sector,Level_1,Level_2,Level_3,unit,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
42,S1.5_Strategic_VC,Austria,Biomass,Industry,Non-ferrous metals,Steam and hot water emissions by technology,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,S1.5_Strategic_VC,Austria,Biomass,Industry,Non-metallic mineral products,Energy balance calibration emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,S1.5_Strategic_VC,Austria,Biomass,Industry,Non-metallic mineral products,Furnaces - fuel switch emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,S1.5_Strategic_VC,Austria,Biomass,Industry,Non-metallic mineral products,Space heat emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,S1.5_Strategic_VC,Austria,Biomass,Industry,Non-metallic mineral products,Steam and hot water emissions by technology,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,S1.5_Strategic_VC,Austria,Biomass,Industry,Other non-classified,Energy balance calibration emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,S1.5_Strategic_VC,Austria,Biomass,Industry,Other non-classified,Space heat emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,S1.5_Strategic_VC,Austria,Biomass,Industry,Other non-classified,Steam and hot water emissions by technology,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,S1.5_Strategic_VC,Austria,Biomass,Industry,Paper and printing,Energy balance calibration emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,S1.5_Strategic_VC,Austria,Biomass,Industry,Paper and printing,Furnaces - fuel switch emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,S1.5_Strategic_VC,Austria,Biomass,Industry,Paper and printing,Space heat emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,S1.5_Strategic_VC,Austria,Biomass,Industry,Paper and printing,Steam and hot water emissions by technology,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Chemical industry,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,S1.5_Strategic_VC,Austria,Captured emissions,Industry,"Food, drink and tobacco",Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Iron and steel,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Non-ferrous metals,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Non-metallic mineral products,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,-30941.903,-62463.872,-94455.97200000001,-126742.916,-158815.351,-200390.289,-241482.791,-282106.528,-319890.472,-364049.964,-441298.313,-519733.1,-746711.663,-871554.0,-965219.88,-1057162.341,-1147338.074,-1234302.874,-1347628.145,-1437527.075,-1548428.027,-1668479.028,-1789628.379,-1783617.652,-1751333.406,-1731849.217,-1712630.848,-1696325.218,-1768853.396
59,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Other non-classified,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,S1.5_Strategic_VC,Austria,Captured emissions,Industry,Paper and printing,Emissions captured in CCS,Energy related CO2-Emissions,[tCO2eq.],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,S1.5_Strategic_VC,Austria,Coal,Industry,Chemical industry,Energy balance calibration emissions,Energy related CO2-Emissions,[tCO2eq.],-2352.542,-2352.542,-2352.542,-2338.906,-2316.53,-2279.568,-2245.877,-2202.657,-2160.824,-2121.27,-2082.733,-2046.115,-1940.358,-1825.277,-1699.346,-1576.52,-1464.591,-1365.421,-1230.549,-1153.29,-1096.555,-1055.431,-1007.235,-877.322,-643.056,-494.496,-363.57,-141.607,-78.201,-56.735,-44.194,-31.347,-21.365
62,S1.5_Strategic_VC,Austria,Coal,Industry,Chemical industry,Furnaces - fuel switch emissions,Energy related CO2-Emissions,[tCO2eq.],78051.894,78121.412,78199.942,78213.378,96552.055,111330.637,121767.486,127148.631,130784.378,132050.497,131879.056,129413.906,113512.886,99061.2,81444.43,64876.753,50747.054,38568.894,23429.73,16308.688,12437.436,10015.169,6062.774,4277.913,3430.881,2880.756,2506.535,763.053,351.229,238.313,184.206,131.69,90.272
63,S1.5_Strategic_VC,Austria,Coal,Industry,Chemical industry,Space heat emissions,Energy related CO2-Emissions,[tCO2eq.],0.0,46.02,48.97,55.313,63.416,67.114,67.483,66.502,65.058,63.39,61.588,59.607,57.588,54.651,51.593,48.46,45.306,42.2,39.027,35.831,32.655,29.548,26.595,23.784,21.154,18.716,16.477,14.441,12.601,10.953,9.49,8.199,7.068
64,S1.5_Strategic_VC,Austria,Coal,Industry,Chemical industry,Steam and hot water emissions by technology,Energy related CO2-Emissions,[tCO2eq.],9624.282,13236.581,13021.18,12767.483,12877.678,12609.607,12336.674,11966.744,11570.29,11162.775,10721.792,10262.644,9448.124,8514.074,7603.553,6722.52,5910.502,5159.555,4491.63,3878.897,2721.108,2143.964,1780.175,1298.214,962.1020000000001,713.975,27.898,8.651,1.387,0.196,0.099,0.055,0.028
